Label,count,mean,std,min,25%,50%,75%,max
Case,248779.0,-0.40638001554769493,0.823101895343339,-4.081239021774038,-0.9616084894640684,-0.4084455665981743,0.14753495607836625,3.4893210250205136
Control,248819.0,0.5472517091380754,0.8231417014755142,-3.127933202596488,-0.007386247742787012,0.5447314978630863,1.1008293819057904,4.282410735334444
